run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	140896	3008	229014
0	linear/64/base	cfg	115068	0	0
0	linear/64/base	emission_exclusive	3436915	132901	2319001
0	linear/64/base	serialization	1189181	12094	341915
0	linear/64/base	combined	4882282	148003	2889930
0	linear/64/light	ir	125648	3415	247192
0	linear/64/light	cfg	86984	0	0
0	linear/64/light	emission_exclusive	3598222	147950	2532872
0	linear/64/light	serialization	1204310	12094	341531
0	linear/64/light	combined	5015284	163459	3121595
0	linear/64/heavy	ir	469799	9622	905081
0	linear/64/heavy	cfg	88107	0	0
0	linear/64/heavy	emission_exclusive	10161466	304273	7017602
0	linear/64/heavy	serialization	4147080	12096	1167973
0	linear/64/heavy	combined	14866602	325991	9090656
0	linear/256/base	ir	615836	12035	920903
0	linear/256/base	cfg	1397556	0	0
0	linear/256/base	emission_exclusive	12845797	526712	12403352
0	linear/256/base	serialization	4602162	47424	1346537
0	linear/256/base	combined	19461481	586171	14670792
0	linear/256/light	ir	691549	13656	991497
0	linear/256/light	cfg	1266688	0	0
0	linear/256/light	emission_exclusive	14002607	587752	13275990
0	linear/256/light	serialization	4517792	47424	1345097
0	linear/256/light	combined	20478776	648832	15612584
0	linear/256/heavy	ir	2800572	38488	3624490
0	linear/256/heavy	cfg	1126422	0	0
0	linear/256/heavy	emission_exclusive	39704761	1209433	31175155
0	linear/256/heavy	serialization	17381454	47426	4650931
0	linear/256/heavy	combined	61013339	1295347	39450576
0	linear/1024/base	ir	5548453	48137	3687888
0	linear/1024/base	cfg	23121049	0	0
0	linear/1024/base	emission_exclusive	51311502	2101884	101426946
0	linear/1024/base	serialization	18839303	188738	5365343
0	linear/1024/base	combined	98820567	2338759	110480177
0	linear/1024/light	ir	6664115	54622	3970450
0	linear/1024/light	cfg	21879027	0	0
0	linear/1024/light	emission_exclusive	55290205	2346883	104935712
0	linear/1024/light	serialization	18708746	188738	5359679
0	linear/1024/light	combined	102542373	2590243	114265841
0	linear/1024/heavy	ir	26365219	153950	14502323
0	linear/1024/heavy	cfg	21477146	0	0
0	linear/1024/heavy	emission_exclusive	159263267	4830132	176508472
0	linear/1024/heavy	serialization	67338702	188740	18583081
0	linear/1024/heavy	combined	274444594	5172822	209593876
0	diamond-chain/64/base	ir	118795	3014	230397
0	diamond-chain/64/base	cfg	111581	0	0
0	diamond-chain/64/base	emission_exclusive	5171690	225845	3714034
0	diamond-chain/64/base	serialization	1438693	17982	373065
