run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	152959	3028	242734
0	linear/64/base	cfg	127632	0	0
0	linear/64/base	emission_exclusive	3892822	141069	2706647
0	linear/64/base	serialization	1666191	12095	343963
0	linear/64/base	combined	5842960	156192	3293344
0	linear/64/light	ir	143892	3435	260912
0	linear/64/light	cfg	91664	0	0
0	linear/64/light	emission_exclusive	4112767	156996	2919214
0	linear/64/light	serialization	1695868	12095	343579
0	linear/64/light	combined	6044352	172526	3523705
0	linear/64/heavy	ir	486701	9642	918801
0	linear/64/heavy	cfg	92225	0	0
0	linear/64/heavy	emission_exclusive	11795438	327679	8558383
0	linear/64/heavy	serialization	5961546	12097	1170021
0	linear/64/heavy	combined	18336060	349418	10647205
0	linear/256/base	ir	670438	12105	976591
0	linear/256/base	cfg	1424765	0	0
0	linear/256/base	emission_exclusive	14967669	558915	13984968
0	linear/256/base	serialization	6479756	47425	1348585
0	linear/256/base	combined	23542788	618445	16310144
0	linear/256/light	ir	901024	13726	1047185
0	linear/256/light	cfg	1312723	0	0
0	linear/256/light	emission_exclusive	15920701	623473	14855098
0	linear/256/light	serialization	6419551	47425	1347145
0	linear/256/light	combined	24554159	684624	17249428
0	linear/256/heavy	ir	2761173	38558	3680178
0	linear/256/heavy	cfg	1246708	0	0
0	linear/256/heavy	emission_exclusive	46567333	1302586	37372958
0	linear/256/heavy	serialization	24749470	47427	4652979
0	linear/256/heavy	combined	75324864	1388571	45706115
0	linear/1024/base	ir	5900950	48407	3919512
0	linear/1024/base	cfg	23127521	0	0
0	linear/1024/base	emission_exclusive	59203363	2230202	107798138
0	linear/1024/base	serialization	27067093	188739	5367391
0	linear/1024/base	combined	115299218	2467348	117085041
0	linear/1024/light	ir	7758142	54892	4202074
0	linear/1024/light	cfg	22483714	0	0
0	linear/1024/light	emission_exclusive	63318135	2489279	111299748
0	linear/1024/light	serialization	25495510	188739	5361727
0	linear/1024/light	combined	119055672	2732910	120863549
0	linear/1024/heavy	ir	26994706	154220	14733947
0	linear/1024/heavy	cfg	22326245	0	0
0	linear/1024/heavy	emission_exclusive	185903754	5202248	201349413
0	linear/1024/heavy	serialization	98922674	188741	18585129
0	linear/1024/heavy	combined	334147690	5545209	234668489
0	diamond-chain/64/base	ir	127120	3034	243989
0	diamond-chain/64/base	cfg	109257	0	0
0	diamond-chain/64/base	emission_exclusive	5604751	231493	4065232
0	diamond-chain/64/base	serialization	1985264	17983	375113
0	diamond-chain/64/base	combined	7826502	252510	4684334
0	diamond-chain/64/light	ir	137651	3441	262167
0	diamond-chain/64/light	cfg	104739	0	0
0	diamond-chain/64/light	emission_exclusive	5948580	250831	4334968
0	diamond-chain/64/light	serialization	1976518	17983	374729
0	diamond-chain/64/light	combined	8167618	272255	4971864
0	diamond-chain/64/heavy	ir	391290	9648	920056
0	diamond-chain/64/heavy	cfg	105841	0	0
0	diamond-chain/64/heavy	emission_exclusive	15504693	508346	11500785
0	diamond-chain/64/heavy	serialization	6384506	17985	1201171
0	diamond-chain/64/heavy	combined	22386451	535979	13622012
0	diamond-chain/256/base	ir	678924	12115	981974
0	diamond-chain/256/base	cfg	1230437	0	0
0	diamond-chain/256/base	emission_exclusive	21809538	918895	19024508
0	diamond-chain/256/base	serialization	7785535	70977	1473143
0	diamond-chain/256/base	combined	31504545	1001987	21479625
0	diamond-chain/256/light	ir	774425	13736	1052568
0	diamond-chain/256/light	cfg	1223304	0	0
0	diamond-chain/256/light	emission_exclusive	23180742	997534	20129071
0	diamond-chain/256/light	serialization	7697449	70977	1471703
0	diamond-chain/256/light	combined	32876170	1082247	22653342
0	diamond-chain/256/heavy	ir	2456937	38568	3685561
0	diamond-chain/256/heavy	cfg	1215980	0	0
0	diamond-chain/256/heavy	emission_exclusive	61291622	2025943	48781659
0	diamond-chain/256/heavy	serialization	25162400	70979	4777537
0	diamond-chain/256/heavy	combined	90127109	2135490	57244757
0	diamond-chain/1024/base	ir	6570217	48421	3941407
0	diamond-chain/1024/base	cfg	21297690	0	0
0	diamond-chain/1024/base	emission_exclusive	87714617	3669904	122056666
0	diamond-chain/1024/base	serialization	30952972	282947	5865581
0	diamond-chain/1024/base	combined	146535816	4001272	131863654
0	diamond-chain/1024/light	ir	7390067	54906	4223969
0	diamond-chain/1024/light	cfg	18206484	0	0
0	diamond-chain/1024/light	emission_exclusive	92741384	3985751	126502213
0	diamond-chain/1024/light	serialization	29049964	282947	5859917
0	diamond-chain/1024/light	combined	147388189	4323604	136586099
0	diamond-chain/1024/heavy	ir	24577574	154234	14755842
0	diamond-chain/1024/heavy	cfg	20596355	0	0
0	diamond-chain/1024/heavy	emission_exclusive	247331964	8097872	241118926
0	diamond-chain/1024/heavy	serialization	102416332	282949	19083319
0	diamond-chain/1024/heavy	combined	394922566	8535055	274958087
0	fan-in/64/base	ir	134674	3037	245602
0	fan-in/64/base	cfg	75383	0	0
0	fan-in/64/base	emission_exclusive	30662682	374268	8939705
0	fan-in/64/base	serialization	5548303	23503	435723
0	fan-in/64/base	combined	36421184	400808	9621030
0	fan-in/256/base	ir	702559	12146	989027
0	fan-in/256/base	cfg	569016	0	0
0	fan-in/256/base	emission_exclusive	113971177	3859848	126846162
0	fan-in/256/base	serialization	16891066	169876	2042196
0	fan-in/256/base	combined	132134008	4041870	129877385
0	fan-in/1024/base	ir	6818907	48577	3970228
0	fan-in/1024/base	cfg	10519927	0	0
0	fan-in/1024/base	emission_exclusive	1366576857	34794349	7595062897
0	fan-in/1024/base	serialization	51851128	520490	7224987
0	fan-in/1024/base	combined	1435767029	35363416	7606258112
0	nested-loop/64/base	ir	122311	3030	242919
0	nested-loop/64/base	cfg	186833	0	0
0	nested-loop/64/base	emission_exclusive	4650016	158337	3276009
0	nested-loop/64/base	serialization	1934709	13199	350851
0	nested-loop/64/base	combined	6894019	174566	3869779
0	nested-loop/256/base	ir	666010	12107	976776
0	nested-loop/256/base	cfg	3528294	0	0
0	nested-loop/256/base	emission_exclusive	17352999	609282	17739490
0	nested-loop/256/base	serialization	7050154	48529	1358545
0	nested-loop/256/base	combined	28597638	669918	20074811
0	nested-loop/1024/base	ir	6073116	48409	3919697
0	nested-loop/1024/base	cfg	40688034	0	0
0	nested-loop/1024/base	emission_exclusive	68263479	2412930	150833496
0	nested-loop/1024/base	serialization	29349519	189843	5389639
0	nested-loop/1024/base	combined	144374328	2651182	160142832
0	multi-exit/64/base	ir	128183	3016	245428
0	multi-exit/64/base	cfg	81374	0	0
0	multi-exit/64/base	emission_exclusive	29960706	1057389	21519340
0	multi-exit/64/base	serialization	8300789	46595	571928
0	multi-exit/64/base	combined	38471192	1107000	22336696
0	multi-exit/256/base	ir	710785	12121	987957
0	multi-exit/256/base	cfg	611828	0	0
0	multi-exit/256/base	emission_exclusive	146979375	5528355	156537191
0	multi-exit/256/base	serialization	17986277	175764	2081470
0	multi-exit/256/base	combined	166288435	5716240	159606618
0	multi-exit/1024/base	ir	6909017	48551	3969150
0	multi-exit/1024/base	cfg	12204873	0	0
0	multi-exit/1024/base	emission_exclusive	1482503906	40518273	7627205666
0	multi-exit/1024/base	serialization	53486190	520490	7240589
0	multi-exit/1024/base	combined	1555104256	41087314	7638415405
0	no-exit/64/base	ir	122392	3038	243015
0	no-exit/64/base	cfg	50044	0	0
0	no-exit/64/base	emission_exclusive	3998142	145796	2690230
0	no-exit/64/base	serialization	1785778	12279	345439
0	no-exit/64/base	combined	5956486	161113	3278684
0	no-exit/256/base	ir	667673	12115	976872
0	no-exit/256/base	cfg	426647	0	0
0	no-exit/256/base	emission_exclusive	15543398	579032	12306974
0	no-exit/256/base	serialization	7040786	47609	1351595
0	no-exit/256/base	combined	23678664	638756	14635441
0	no-exit/1024/base	ir	5980030	48417	3919793
0	no-exit/1024/base	cfg	6403029	0	0
0	no-exit/1024/base	emission_exclusive	61656434	2311883	75143627
0	no-exit/1024/base	serialization	27781373	188923	5376543
0	no-exit/1024/base	combined	101821026	2549223	84439963
0	irreducible/64/base	ir	125707	3034	244691
0	irreducible/64/base	cfg	89249	0	0
0	irreducible/64/base	emission_exclusive	872630839	17975789	328347260
0	irreducible/64/base	serialization	258796469	2469874	14999594
0	irreducible/64/base	combined	1131642485	20448697	343591545
0	irreducible/256/base	ir	699754	12115	984788
0	irreducible/256/base	cfg	1171696	0	0
0	irreducible/256/base	emission_exclusive	2293698523	55712290	912331739
0	irreducible/256/base	serialization	453005693	4317512	26812483
0	irreducible/256/base	combined	2748576016	60041917	940129010
0	irreducible/1024/base	ir	6545459	48421	3952669
0	irreducible/1024/base	cfg	18799786	0	0
0	irreducible/1024/base	emission_exclusive	5018139166	119848741	3892582544
0	irreducible/1024/base	serialization	512940541	4995738	34008953
0	irreducible/1024/base	combined	5556425162	124892900	3930544166
