run	case	phase	nanos	alloc_count	alloc_bytes
0	linear/64/base	ir	147960	3008	229014
0	linear/64/base	cfg	116380	0	0
0	linear/64/base	emission_exclusive	3497005	132901	2319001
0	linear/64/base	serialization	1158121	12094	341915
0	linear/64/base	combined	4919836	148003	2889930
0	linear/64/light	ir	124686	3415	247192
0	linear/64/light	cfg	88177	0	0
0	linear/64/light	emission_exclusive	3700709	147950	2532872
0	linear/64/light	serialization	1170303	12094	341531
0	linear/64/light	combined	5083986	163459	3121595
0	linear/64/heavy	ir	473275	9622	905081
0	linear/64/heavy	cfg	89750	0	0
0	linear/64/heavy	emission_exclusive	10438643	304273	7017602
0	linear/64/heavy	serialization	4150020	12096	1167973
0	linear/64/heavy	combined	15151859	325991	9090656
0	linear/256/base	ir	610484	12035	920903
0	linear/256/base	cfg	1388756	0	0
0	linear/256/base	emission_exclusive	13246907	526712	12403352
0	linear/256/base	serialization	4568871	47424	1346537
0	linear/256/base	combined	19815178	586171	14670792
0	linear/256/light	ir	692951	13656	991497
0	linear/256/light	cfg	1258371	0	0
0	linear/256/light	emission_exclusive	14440372	587752	13275990
0	linear/256/light	serialization	4549625	47424	1345097
0	linear/256/light	combined	20941480	648832	15612584
0	linear/256/heavy	ir	2711037	38488	3624490
0	linear/256/heavy	cfg	1121221	0	0
0	linear/256/heavy	emission_exclusive	40481669	1209433	31175155
0	linear/256/heavy	serialization	16222734	47426	4650931
0	linear/256/heavy	combined	60536851	1295347	39450576
0	linear/1024/base	ir	5855515	48137	3687888
0	linear/1024/base	cfg	22743808	0	0
0	linear/1024/base	emission_exclusive	52589661	2101884	101426946
0	linear/1024/base	serialization	18143287	188738	5365343
0	linear/1024/base	combined	99332792	2338759	110480177
0	linear/1024/light	ir	6694783	54622	3970450
0	linear/1024/light	cfg	21407591	0	0
0	linear/1024/light	emission_exclusive	57416220	2346883	104935712
0	linear/1024/light	serialization	18184836	188738	5359679
0	linear/1024/light	combined	103703930	2590243	114265841
0	linear/1024/heavy	ir	26440310	153950	14502323
0	linear/1024/heavy	cfg	21610084	0	0
0	linear/1024/heavy	emission_exclusive	161683345	4830132	176508472
0	linear/1024/heavy	serialization	64883785	188740	18583081
0	linear/1024/heavy	combined	274618014	5172822	209593876
0	diamond-chain/64/base	ir	126369	3014	230397
0	diamond-chain/64/base	cfg	107443	0	0
0	diamond-chain/64/base	emission_exclusive	5257204	225845	3714034
0	diamond-chain/64/base	serialization	1363480	17982	373065
0	diamond-chain/64/base	combined	6854736	246841	4317496
0	diamond-chain/64/light	ir	136929	3421	248575
0	diamond-chain/64/light	cfg	104377	0	0
0	diamond-chain/64/light	emission_exclusive	5556790	242545	3960954
0	diamond-chain/64/light	serialization	1360313	17982	372681
0	diamond-chain/64/light	combined	7158509	263948	4582210
0	diamond-chain/64/heavy	ir	394917	9628	906464
0	diamond-chain/64/heavy	cfg	100981	0	0
0	diamond-chain/64/heavy	emission_exclusive	14296792	486163	9978456
0	diamond-chain/64/heavy	serialization	4204312	17984	1199123
0	diamond-chain/64/heavy	combined	18997112	513775	12084043
0	diamond-chain/256/base	ir	640271	12045	926798
0	diamond-chain/256/base	cfg	1263850	0	0
0	diamond-chain/256/base	emission_exclusive	20804992	897470	17597948
0	diamond-chain/256/base	serialization	5715200	70976	1471095
0	diamond-chain/256/base	combined	28424543	980491	19995841
0	diamond-chain/256/light	ir	735972	13666	997392
0	diamond-chain/256/light	cfg	1206192	0	0
0	diamond-chain/256/light	emission_exclusive	22200511	965199	18603715
0	diamond-chain/256/light	serialization	5629989	70976	1469655
0	diamond-chain/256/light	combined	29772794	1049841	21070762
0	diamond-chain/256/heavy	ir	2329717	38498	3630385
0	diamond-chain/256/heavy	cfg	1211231	0	0
0	diamond-chain/256/heavy	emission_exclusive	57216021	1938175	42664308
0	diamond-chain/256/heavy	serialization	16958977	70978	4775489
0	diamond-chain/256/heavy	combined	77716386	2047651	51070182
0	diamond-chain/1024/base	ir	5873318	48151	3711831
0	diamond-chain/1024/base	cfg	21142460	0	0
0	diamond-chain/1024/base	emission_exclusive	84028374	3585414	116314962
0	diamond-chain/1024/base	serialization	22041791	282946	5863533
0	diamond-chain/1024/base	combined	133086344	3916511	125890326
0	diamond-chain/1024/light	ir	7165232	54636	3994393
0	diamond-chain/1024/light	cfg	19194956	0	0
0	diamond-chain/1024/light	emission_exclusive	89369828	3857263	120357625
0	diamond-chain/1024/light	serialization	22381533	282946	5857869
0	diamond-chain/1024/light	combined	138111970	4194845	130209887
0	diamond-chain/1024/heavy	ir	24484181	153964	14526266
0	diamond-chain/1024/heavy	cfg	19503990	0	0
0	diamond-chain/1024/heavy	emission_exclusive	226422866	7747807	216606437
0	diamond-chain/1024/heavy	serialization	70414645	282948	19081271
0	diamond-chain/1024/heavy	combined	340826232	8184719	250213974
0	fan-in/64/base	ir	116660	3012	231834
0	fan-in/64/base	cfg	66446	0	0
0	fan-in/64/base	emission_exclusive	20632956	361039	7738269
0	fan-in/64/base	serialization	3908021	23502	433675
0	fan-in/64/base	combined	24724235	387553	8403778
0	fan-in/256/base	ir	720733	12041	932555
0	fan-in/256/base	cfg	545402	0	0
0	fan-in/256/base	emission_exclusive	80003763	3324668	63227648
0	fan-in/256/base	serialization	929548	8140	1101612
0	fan-in/256/base	combined	82199596	3344849	65261815
0	fan-in/1024/base	ir	6934797	48145	3734868
0	fan-in/1024/base	cfg	7649929	0	0
0	fan-in/1024/base	emission_exclusive	785388005	31527604	618738748
0	fan-in/1024/base	serialization	1804824	8142	4248310
0	fan-in/1024/base	combined	801777815	31583891	626721926
0	nested-loop/64/base	ir	113074	3009	229111
0	nested-loop/64/base	cfg	181724	0	0
0	nested-loop/64/base	emission_exclusive	4021777	149718	2837421
0	nested-loop/64/base	serialization	1251968	13198	348803
0	nested-loop/64/base	combined	5568683	165925	3415335
0	nested-loop/256/base	ir	628539	12036	921000
0	nested-loop/256/base	cfg	2259905	0	0
0	nested-loop/256/base	emission_exclusive	15135808	576567	15976260
0	nested-loop/256/base	serialization	4923633	48528	1356497
0	nested-loop/256/base	combined	22948045	637131	18253757
0	nested-loop/1024/base	ir	5465808	48138	3687985
0	nested-loop/1024/base	cfg	35604354	0	0
0	nested-loop/1024/base	emission_exclusive	59512373	2283847	143759634
0	nested-loop/1024/base	serialization	20833876	189842	5387591
0	nested-loop/1024/base	combined	121416742	2521827	152835210
0	multi-exit/64/base	ir	118534	2990	231132
0	multi-exit/64/base	cfg	79721	0	0
0	multi-exit/64/base	emission_exclusive	25824606	1038325	19436690
0	multi-exit/64/base	serialization	5602396	46594	569880
0	multi-exit/64/base	combined	31625437	1087909	20237702
0	multi-exit/256/base	ir	670959	12025	931853
0	multi-exit/256/base	cfg	560761	0	0
0	multi-exit/256/base	emission_exclusive	112272026	4980175	93574527
0	multi-exit/256/base	serialization	950367	8140	1101950
0	multi-exit/256/base	combined	114454285	5000340	95608330
0	multi-exit/1024/base	ir	6926281	48135	3734166
0	multi-exit/1024/base	cfg	8047071	0	0
0	multi-exit/1024/base	emission_exclusive	892985820	37208916	724828775
0	multi-exit/1024/base	serialization	1841052	8142	4248630
0	multi-exit/1024/base	combined	909800404	37265193	732811571
0	no-exit/64/base	ir	115268	3018	229199
0	no-exit/64/base	cfg	124125	0	0
0	no-exit/64/base	emission_exclusive	3730346	137678	2442687
0	no-exit/64/base	serialization	1206412	12278	343391
0	no-exit/64/base	combined	5176311	152974	3015277
0	no-exit/256/base	ir	626755	12045	921088
0	no-exit/256/base	cfg	1518833	0	0
0	no-exit/256/base	emission_exclusive	14389677	547235	13059068
0	no-exit/256/base	serialization	4664984	47608	1349547
0	no-exit/256/base	combined	21200389	606888	15329703
0	no-exit/1024/base	ir	5598529	48147	3688073
0	no-exit/1024/base	cfg	24741828	0	0
0	no-exit/1024/base	emission_exclusive	56547055	2185382	106422336
0	no-exit/1024/base	serialization	19204014	188922	5374495
0	no-exit/1024/base	combined	106091656	2422451	115484904
0	irreducible/64/base	ir	116130	3014	231355
0	irreducible/64/base	cfg	89028	0	0
0	irreducible/64/base	emission_exclusive	372217478	13761714	204732406
0	irreducible/64/base	serialization	4762087	61038	628259
0	irreducible/64/base	combined	377184964	13825766	205592020
0	irreducible/256/base	ir	662904	12045	930636
0	irreducible/256/base	cfg	1127052	0	0
0	irreducible/256/base	emission_exclusive	1074459658	38938265	424485411
0	irreducible/256/base	serialization	4933652	61040	1417299
0	irreducible/256/base	combined	1081183436	39011350	426833346
0	irreducible/1024/base	ir	6000278	48151	3727189
0	irreducible/1024/base	cfg	18127337	0	0
0	irreducible/1024/base	emission_exclusive	2981413365	106343842	1096707811
0	irreducible/1024/base	serialization	6622967	61042	4573269
0	irreducible/1024/base	combined	3012164147	106453035	1105008269
