case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
nested-loop/256/base	ir	12105	966536	674855	85667840
nested-loop/256/base	cfg	2815	6823004	1729560	85667840
nested-loop/256/base	emission_exclusive	609683	10791999	230940	85667840
nested-loop/256/base	serialization	48528	1356497	524288	85667840
nested-loop/256/base	combined	673131	19938036	2087448	85667840
nested-loop/1024/base	ir	48407	3878737	2702503	85667840
nested-loop/1024/base	cfg	11027	107500468	26971416	85667840
nested-loop/1024/base	emission_exclusive	2414867	42784149	919550	85667840
nested-loop/1024/base	serialization	189842	5387591	2097152	85667840
nested-loop/1024/base	combined	2664143	159550945	28398843	85667840
multi-exit/64/base	ir	3014	242868	169285	85667840
multi-exit/64/base	cfg	972	263832	116400	85667840
multi-exit/64/base	emission_exclusive	1057187	21233181	349884	85667840
multi-exit/64/base	serialization	46594	569880	131072	85667840
multi-exit/64/base	combined	1107767	22309761	445787	85667840
multi-exit/256/base	ir	12119	977717	681397	85667840
multi-exit/256/base	cfg	3906	3567720	1718448	85667840
multi-exit/256/base	emission_exclusive	4323446	100333245	991497	85667840
multi-exit/256/base	serialization	175763	2079434	524288	85667840
multi-exit/256/base	combined	4515234	106958116	2078813	85667840
multi-exit/1024/base	ir	48549	3928190	2732725	85667840
multi-exit/1024/base	cfg	15576	54383152	26927280	85667840
multi-exit/1024/base	emission_exclusive	25295540	682052684	3127837	85667840
multi-exit/1024/base	serialization	520489	7238547	2097152	85667840
multi-exit/1024/base	combined	25880154	747602573	28365632	85667840
no-exit/64/base	ir	3036	240455	167832	85667840
no-exit/64/base	cfg	384	163600	84740	85667840
no-exit/64/base	emission_exclusive	146202	2511314	58757	85667840
no-exit/64/base	serialization	12278	343391	131072	85667840
no-exit/64/base	combined	161900	3258760	222996	85667840
no-exit/256/base	ir	12113	966632	674920	85667840
no-exit/256/base	cfg	1448	2273808	1223492	85667840
no-exit/256/base	emission_exclusive	580805	9925458	230911	85667840
no-exit/256/base	serialization	47608	1349547	524288	85667840
no-exit/256/base	combined	641974	14515445	1581395	85667840
no-exit/1024/base	ir	48415	3878833	2702568	85667840
no-exit/1024/base	cfg	5683	35044704	19049540	85667840
no-exit/1024/base	emission_exclusive	2319168	39615607	919537	85667840
