case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
nested-loop/256/base	ir	12105	966536	674855	85962752
nested-loop/256/base	cfg	2815	6823004	1729560	85962752
nested-loop/256/base	emission_exclusive	605844	10579866	202691	85962752
nested-loop/256/base	serialization	48528	1356497	524288	85962752
nested-loop/256/base	combined	669292	19725903	2087448	85962752
nested-loop/1024/base	ir	48407	3878737	2702503	85962752
nested-loop/1024/base	cfg	11027	107500468	26971416	85962752
nested-loop/1024/base	emission_exclusive	2399508	41935632	796916	85962752
nested-loop/1024/base	serialization	189842	5387591	2097152	85962752
nested-loop/1024/base	combined	2648784	158702428	28398843	85962752
multi-exit/64/base	ir	3014	242868	169285	85962752
multi-exit/64/base	cfg	972	263832	116400	85962752
multi-exit/64/base	emission_exclusive	1056234	21179160	349884	85962752
multi-exit/64/base	serialization	46594	569880	131072	85962752
multi-exit/64/base	combined	1106814	22255740	445787	85962752
multi-exit/256/base	ir	12119	977717	681397	85962752
multi-exit/256/base	cfg	3906	3567720	1718448	85962752
multi-exit/256/base	emission_exclusive	5473227	103181410	991497	85962752
multi-exit/256/base	serialization	175763	2079434	524288	85962752
multi-exit/256/base	combined	5665015	109806281	2078813	85962752
multi-exit/1024/base	ir	48549	3928190	2732725	85962752
multi-exit/1024/base	cfg	15576	54383152	26927280	85962752
multi-exit/1024/base	emission_exclusive	39121872	716049058	3127837	85962752
multi-exit/1024/base	serialization	520489	7238547	2097152	85962752
multi-exit/1024/base	combined	39706486	781598947	28365632	85962752
no-exit/64/base	ir	3036	240455	167832	85962752
no-exit/64/base	cfg	384	163600	84740	85962752
no-exit/64/base	emission_exclusive	145241	2458282	49252	85962752
no-exit/64/base	serialization	12278	343391	131072	85962752
no-exit/64/base	combined	160939	3205728	222996	85962752
no-exit/256/base	ir	12113	966632	674920	85962752
no-exit/256/base	cfg	1448	2273808	1223492	85962752
no-exit/256/base	emission_exclusive	576964	9713330	191555	85962752
no-exit/256/base	serialization	47608	1349547	524288	85962752
no-exit/256/base	combined	638133	14303317	1581395	85962752
no-exit/1024/base	ir	48415	3878833	2702568	85962752
no-exit/1024/base	cfg	5683	35044704	19049540	85962752
no-exit/1024/base	emission_exclusive	2303807	38767095	761266	85962752
no-exit/1024/base	serialization	188922	5374495	2097152	85962752
no-exit/1024/base	combined	2546827	83065127	20476998	85962752
irreducible/64/base	ir	3032	242131	167769	85962752
irreducible/64/base	cfg	690	172656	85084	85962752
irreducible/64/base	emission_exclusive	20020229	375784667	9142101	85962752
irreducible/64/base	serialization	2739433	16602620	1274378	85962752
irreducible/64/base	combined	22763384	392802074	9226959	85962752
irreducible/256/base	ir	12113	974548	675289	85962752
irreducible/256/base	cfg	3426	2506960	1224988	85962752
irreducible/256/base	emission_exclusive	50819701	725385884	13755544	85962752
irreducible/256/base	serialization	3945831	24608381	1848383	85962752
irreducible/256/base	combined	54781071	753475773	14095163	85962752
irreducible/1024/base	ir	48419	3911709	2704665	85962752
irreducible/1024/base	cfg	16652	38975896	19055644	85962752
irreducible/1024/base	emission_exclusive	121424912	1391417221	17463088	85962752
irreducible/1024/base	serialization	5140545	34956339	2443239	85962752
irreducible/1024/base	combined	126630528	1469261165	20485337	85962752
