file	class	callee_renderings_lost	wholly_vanished_callees	removed_lines	added_lines	candidate_marker	ir_reference_only_instructions	lost_edge_effects	vanished_callee_names	lost_rendering_detail
01188_sub_6c487c.dartpseudo	fewer_renderings_same_callees	14	0	331	989	trap_only	2			sub_60e628:7;sub_d4fcf4:7
01194_sub_6c73e4.dartpseudo	fewer_renderings_same_callees	2	0	22	2	indirect_branch_only	0			sub_6c73e4:2
01195_sub_6c74e0.dartpseudo	vanished_behind_indirect_branch	4	1	50	2	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	sub_6c73e4	sub_6c73e4:4
01223_sub_6cce14.dartpseudo	fewer_renderings_same_callees	23	0	231	56	trap_only	2			sel64036:3;sel66721:3;sel67735:3;sel86715:6;sub_d4fcf4:7;sub_d71b54:1
01239_sub_6cf3bc.dartpseudo	fewer_renderings_same_callees	55	0	289	105	trap_only	2			fn_0x6cf7d0:15;fn_0x6cfb90:3;fn_0x6d0280:3;fn_0x6d0374:3;fn_0x6d0380:3;sel65395:3;sel66823:3;sub_6c0488:3;sub_d4fbf8:6;sub_d4fcf4:3;sub_d50264:2;sub_d50a6c:3;sub_d50aa8:1;sub_d50e6c:1;sub_d51b44:3
01267_sub_6d6bd0.dartpseudo	fewer_renderings_same_callees	6	0	212	231	none	0			sel11861:1;sel20967:3;sel30073:2
01292_sub_6ddfc4.dartpseudo	vanished_behind_indirect_branch	4	2	26	2	indirect_branch_only	0	dispatch_selector_rendering:1;disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	sel11369;sub_6de09c	sel11369:2;sub_6de09c:2
01300_sub_6df29c.dartpseudo	vanished_behind_indirect_branch	2	1	6	8	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:1	sub_6df3c4	sub_6df3c4:2
01326_sub_6e178c.dartpseudo	fewer_renderings_same_callees	10	0	63	46	trap_only	2			fn_0x6e1c98:3;sub_6c0248:3;sub_6e201c:1;sub_d4fcf4:1;sub_d50284:1;sub_d50e6c:1
01343_sub_6e4c6c.dartpseudo	fewer_renderings_same_callees	16	0	314	277	none	0			sub_d50264:16
01371_sub_6ee658.dartpseudo	fewer_renderings_same_callees	120	0	693	661	none	0			fn_0x6ee868:18;sel101808:42;sel101858:42;sel6646:18
01485_sub_76a84c.dartpseudo	fewer_renderings_same_callees	1	0	18	14	trap_only	2			sub_d4fcf4:1
01538_sub_772604.dartpseudo	vanished_behind_indirect_branch	2	1	14	8	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	sub_7726b4	sub_7726b4:2
