file	class	callee_renderings_lost	wholly_vanished_callees	removed_lines	added_lines	candidate_marker	ir_reference_only_instructions	lost_edge_effects	vanished_callee_names	lost_rendering_detail
04632_sub_b189b4.dartpseudo	vanished_behind_indirect_branch	2	1	12	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	fn_0xb18a1c	fn_0xb18a1c:2
04633_sub_b18bb0.dartpseudo	vanished_behind_indirect_branch	6	3	17	9	indirect_branch_only	0	disposition_RetainedUnreachable:3;lost_edge_after_IndirectBranch:3	sub_7632d0;sub_b1879c;sub_b189b4	sub_7632d0:2;sub_b1879c:2;sub_b189b4:2
04637_sub_b199ec.dartpseudo	vanished_behind_trap	2	1	33	26	trap_only	2	disposition_RetainedUnreachable:1;lost_edge_after_Trap:1	fn_0xb19b74	fn_0xb19b74:1;sub_d4fcf4:1
04688_sub_b3e240.dartpseudo	vanished_behind_indirect_branch_and_trap	18	2	665	13	indirect_branch_only	0	dispatch_selector_rendering:1;disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1;lost_edge_after_Trap:1	sel101608;sub_b3da0c	sel101608:6;sub_b3da0c:12
04692_sub_b400ec.dartpseudo	fewer_renderings_same_callees	3	0	352	391	none	0			sub_7c1588:2;sub_7c2898:1
04711_sub_b53a60.dartpseudo	vanished_behind_trap	1	1	6	1	trap_only	0	disposition_RetainedUnreachable:1;lost_edge_after_Trap:1	fn_0xb53aa8	fn_0xb53aa8:1
04747_sub_b5e29c.dartpseudo	fewer_renderings_same_callees	3	0	156	1289	trap_only	2			sel141:1;sub_d4fd18:1;sub_d51b44:1
04752_sub_b60558.dartpseudo	fewer_renderings_same_callees	2	0	46	31	trap_only	2			sub_d4fcf4:2
04797_sub_b6a4b4.dartpseudo	fewer_renderings_same_callees	76	0	562	226	trap_only	2			sub_60971c:31;sub_d4fcf4:31;sub_d51b44:14
04851_sub_b855f4.dartpseudo	vanished_behind_trap	8	8	12	6	trap_only	0	dispatch_selector_rendering:4;disposition_RetainedUnreachable:4;lost_edge_after_Trap:4	sel3620;sel4608;sel4621;sel4668;sub_b849f0;sub_b84a8c;sub_b84b28;sub_b84bc4	sel3620:1;sel4608:1;sel4621:1;sel4668:1;sub_b849f0:1;sub_b84a8c:1;sub_b84b28:1;sub_b84bc4:1
04852_sub_b85998.dartpseudo	vanished_behind_trap	8	8	12	6	trap_only	0	dispatch_selector_rendering:4;disposition_RetainedUnreachable:4;lost_edge_after_Trap:4	fn_0xb85bdc;sel3620;sel4608;sel4621;sel4668;sub_b84dfc;sub_b84e98;sub_b84f34	fn_0xb85bdc:1;sel3620:1;sel4608:1;sel4621:1;sel4668:1;sub_b84dfc:1;sub_b84e98:1;sub_b84f34:1
04869_sub_b88e5c.dartpseudo	fewer_renderings_same_callees	2	0	40	44	trap_only	0			sub_b88e5c:2
04870_sub_b8914c.dartpseudo	fewer_renderings_same_callees	1	0	14	17	trap_only	0			sub_b8914c:1
04936_sub_b9d04c.dartpseudo	fewer_renderings_same_callees	2	0	133	127	trap_only	2			sub_d4fcf4:1;sub_d51b44:1
04962_sub_ba3bb8.dartpseudo	fewer_renderings_same_callees	48	0	400	191	trap_only	2			sub_ba0b44:22;sub_ba3874:7;sub_ba3ee8:19
04979_sub_ba8c18.dartpseudo	vanished_behind_trap	1	1	9	12	trap_only	0	disposition_RetainedUnreachable:1;lost_edge_after_Trap:1	fn_0xba8d94	fn_0xba8d94:1
04987_sub_ba97f8.dartpseudo	vanished_behind_indirect_branch	101	2	687	80	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:2	fn_0xba99cc;fn_0xba99d8	fn_0xba99cc:48;fn_0xba99d8:38;sub_ba97f8:15
05027_sub_bb7a78.dartpseudo	vanished_behind_trap	1	1	11	14	trap_only	0	disposition_RetainedUnreachable:6;lost_edge_after_Trap:1	sub_d50e6c	sub_d50e6c:1
05032_sub_bb9458.dartpseudo	fewer_renderings_same_callees	5	0	75	15	trap_only	2			sub_60b138:1;sub_d4fcf4:3;sub_d51820:1
05033_sub_bb95a8.dartpseudo	fewer_renderings_same_callees	18	0	166	40	trap_only	2			sel1814:7;sel64036:1;sub_60b138:3;sub_60c8dc:6;sub_60cc80:1
05040_sub_bbd37c.dartpseudo	fewer_renderings_same_callees	1	0	57	52	trap_only	2			sub_d4fcf4:1
05046_sub_bbff10.dartpseudo	fewer_renderings_same_callees	1	0	57	52	trap_only	2			sub_d4fcf4:1
05100_sub_bcced8.dartpseudo	fewer_renderings_same_callees	1	0	235	2669	trap_only	2			sub_b0e1f8:1
05107_sub_bcdadc.dartpseudo	fewer_renderings_same_callees	11	0	128	204	trap_only	2			fn_0xbcea8c:2;fn_0xbceb20:1;sub_ba015c:5;sub_bcce48:2;sub_d51820:1
05111_sub_bce5d4.dartpseudo	fewer_renderings_same_callees	6	0	370	2583	trap_only	2			sub_b0e1f8:6
05261_sub_c08748.dartpseudo	fewer_renderings_same_callees	11	0	183	102	trap_only	2			sub_b7a720:11
05278_sub_c1000c.dartpseudo	fewer_renderings_same_callees	2	0	61	106	trap_only	2			sub_60e628:1;sub_d4fcf4:1
05289_sub_c15644.dartpseudo	fewer_renderings_same_callees	2	0	43	18	trap_only	2			sel3885:1;sub_d4fcf4:1
05352_sub_c35dac.dartpseudo	vanished_behind_trap	2	2	14	6	trap_only	0	dispatch_selector_rendering:1;disposition_RetainedUnreachable:1;lost_edge_after_Trap:1	sel1221;sub_607bcc	sel1221:1;sub_607bcc:1
05481_sub_c72c28.dartpseudo	fewer_renderings_same_callees	16	0	206	108	trap_only	2			sub_607bcc:11;sub_d50aa8:5
05525_sub_c8a0d0.dartpseudo	fewer_renderings_same_callees	8	0	76	35	trap_only	2			sub_c8a2a4:8
05535_sub_c90310.dartpseudo	fewer_renderings_same_callees	5	0	43	28	trap_only	2			sub_d4fcf4:5
05541_sub_c91c9c.dartpseudo	fewer_renderings_same_callees	4	0	151	54	trap_only	2			sub_d4fd18:4
05576_sub_cf7284.dartpseudo	fewer_renderings_same_callees	2	0	69	64	trap_only	2			sub_d4cdd0:2
05620_sub_d261c4.dartpseudo	fewer_renderings_same_callees	27	0	330	54	trap_only	2			sub_d263d8:1;sub_d26f2c:1;sub_d50264:3;sub_d50284:11;sub_d51820:11
05636_sub_d2e154.dartpseudo	fewer_renderings_same_callees	155	0	733	122	trap_only	2			sub_60971c:18;sub_635cd4:18;sub_6c0248:24;sub_6c0488:3;sub_90eaa8:15;sub_90ee78:15;sub_94ff28:3;sub_d4fb90:23;sub_d50aa8:3;sub_d50e6c:15;sub_d51b44:18
05644_sub_d314ec.dartpseudo	fewer_renderings_same_callees	38	0	220	50	trap_only	2			fn_0xd31988:1;fn_0xd319b8:1;fn_0xd31aa8:9;sel108068:1;sel108089:1;sel66721:1;sub_60d5b4:1;sub_64edc8:9;sub_6c0248:10;sub_6c0488:1;sub_ac7e24:1;sub_d4fbf8:1;sub_d4fcf4:1
05710_sub_d4f048.dartpseudo	fewer_renderings_same_callees	1	0	36	18	trap_only	2			sub_6dc4f0:1
05777_sub_d524cc.dartpseudo	vanished_behind_indirect_branch_and_trap	1	1	10	1	trap_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1;lost_edge_after_Trap:1	fn_0xbac050	fn_0xbac050:1
05791_sub_d563dc.dartpseudo	vanished_behind_indirect_branch	6	1	76	7	indirect_branch_only	0	disposition_RetainedUnreachable:1;lost_edge_after_IndirectBranch:1	sub_d51a9c	sub_d51a9c:6
05797_sub_d715cc.dartpseudo	vanished_behind_indirect_branch	1	1	9	5	indirect_branch_only	0	disposition_RetainedUnreachable:2;lost_edge_after_IndirectBranch:1	sub_d5630c	sub_d5630c:1
