run	case	phase	pairs	reference_median_nanos	reference_mad_nanos	candidate_median_nanos	candidate_mad_nanos	median_paired_delta	noise_mad_of_deltas	mde	clears_mde
aa-1	diamond-chain/64/light	ir	15	131769.0	3216.0	131720.0	1903.0	-0.002123	0.039068	0.117203	no
aa-1	diamond-chain/64/light	serialization	15	1381915.0	33825.0	1404398.0	31680.0	+0.012263	0.037414	0.112242	no
aa-1	fan-in/1024/base	cfg	15	10845793.0	230666.0	10633472.0	177527.0	-0.011924	0.033126	0.099379	no
aa-1	fan-in/1024/base	combined	15	798565963.0	2112914.0	800685738.0	2109925.0	+0.002654	0.004898	0.050000	no
aa-1	fan-in/1024/base	emission_exclusive	15	779391219.0	2598142.0	781939620.0	1593219.0	+0.003577	0.004375	0.050000	no
aa-1	fan-in/1024/base	ir	15	6897172.0	118083.0	6899566.0	98047.0	-0.010013	0.014924	0.050000	no
aa-1	fan-in/1024/base	serialization	15	1822118.0	10179.0	1821577.0	13716.0	+0.001393	0.013151	0.050000	no
aa-1	fan-in/256/base	cfg	15	567774.0	16881.0	555852.0	15249.0	-0.024380	0.024487	0.073461	no
aa-1	fan-in/256/base	combined	15	81147057.0	216245.0	81071084.0	259748.0	-0.001031	0.007233	0.050000	no
aa-1	fan-in/256/base	emission_exclusive	15	78940693.0	160113.0	78894796.0	254367.0	-0.001279	0.007182	0.050000	no
aa-1	fan-in/256/base	ir	15	675197.0	4710.0	672953.0	6361.0	-0.005043	0.006161	0.050000	no
aa-1	fan-in/256/base	serialization	15	943335.0	17263.0	947824.0	10400.0	+0.004759	0.016574	0.050000	no
aa-1	fan-in/64/base	cfg	15	74901.0	3978.0	72207.0	2935.0	-0.026496	0.036777	0.110330	no
aa-1	fan-in/64/base	combined	15	24669274.0	148682.0	24721711.0	129448.0	+0.001907	0.007357	0.050000	no
aa-1	fan-in/64/base	emission_exclusive	15	20764145.0	106883.0	20717736.0	83105.0	-0.002235	0.003941	0.050000	no
aa-1	fan-in/64/base	ir	15	125156.0	4608.0	123634.0	5240.0	-0.011384	0.024393	0.073180	no
aa-1	fan-in/64/base	serialization	15	3682959.0	50015.0	3781004.0	80123.0	+0.030588	0.040753	0.122259	no
aa-1	irreducible/1024/base	cfg	15	19723121.0	261164.0	19689407.0	290236.0	-0.011702	0.021925	0.065776	no
aa-1	irreducible/1024/base	combined	15	3018255885.0	9704555.0	3005706089.0	3216545.0	-0.003390	0.003344	0.050000	no
aa-1	irreducible/1024/base	emission_exclusive	15	2986074379.0	9368840.0	2972199712.0	3250324.0	-0.003558	0.003575	0.050000	no
aa-1	irreducible/1024/base	ir	15	6255747.0	111071.0	6165527.0	91583.0	-0.001616	0.025606	0.076817	no
aa-1	irreducible/1024/base	serialization	15	6530046.0	97946.0	6558972.0	55515.0	+0.013394	0.023381	0.070142	no
aa-1	irreducible/256/base	cfg	15	1143033.0	7254.0	1145017.0	6552.0	+0.001087	0.010967	0.050000	no
aa-1	irreducible/256/base	combined	15	1085014870.0	7038899.0	1084195662.0	3513212.0	-0.000933	0.009480	0.050000	no
aa-1	irreducible/256/base	emission_exclusive	15	1078156052.0	7002066.0	1077353476.0	3438193.0	-0.001155	0.009205	0.050000	no
aa-1	irreducible/256/base	ir	15	657424.0	5070.0	656211.0	4638.0	+0.005934	0.011127	0.050000	no
aa-1	irreducible/256/base	serialization	15	5035809.0	47491.0	5087917.0	103817.0	+0.012813	0.024910	0.074731	no
aa-1	irreducible/64/base	cfg	15	88968.0	1103.0	89128.0	1123.0	+0.005315	0.018380	0.055140	no
aa-1	irreducible/64/base	combined	15	376025506.0	1533945.0	376567482.0	1532254.0	+0.008107	0.008927	0.050000	no
aa-1	irreducible/64/base	emission_exclusive	15	371204712.0	1706450.0	371732573.0	1583631.0	+0.008089	0.008826	0.050000	no
aa-1	irreducible/64/base	ir	15	117342.0	1643.0	118343.0	1883.0	+0.004960	0.008738	0.050000	no
aa-1	irreducible/64/base	serialization	15	4708760.0	93606.0	4699213.0	74561.0	+0.005219	0.017687	0.053062	no
aa-1	linear/1024/base	cfg	15	23420120.0	387514.0	23045226.0	313020.0	-0.003936	0.027241	0.081724	no
aa-1	linear/1024/base	combined	15	101051371.0	1810237.0	100130920.0	1234605.0	-0.004080	0.019973	0.059918	no
aa-1	linear/1024/base	emission_exclusive	15	53011983.0	552932.0	52448815.0	535211.0	-0.004790	0.011943	0.050000	no
