case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
nested-loop/64/base	combined	174566	3869779	236164	88731648
nested-loop/256/base	ir	12107	976776	678951	88731648
nested-loop/256/base	cfg	2815	6823004	1729560	88731648
nested-loop/256/base	emission_exclusive	606467	10916486	305009	88731648
nested-loop/256/base	serialization	48529	1358545	524288	88731648
nested-loop/256/base	combined	669918	20074811	2087448	88731648
nested-loop/1024/base	ir	48409	3919697	2718887	88731648
nested-loop/1024/base	cfg	11027	107500468	26971416	88731648
nested-loop/1024/base	emission_exclusive	2401903	43333028	1205615	88731648
nested-loop/1024/base	serialization	189843	5389639	2097152	88731648
nested-loop/1024/base	combined	2651182	160142832	28398843	88731648
multi-exit/64/base	ir	3016	245428	170309	88731648
multi-exit/64/base	cfg	972	263832	116400	88731648
multi-exit/64/base	emission_exclusive	1056417	21255508	349884	88731648
multi-exit/64/base	serialization	46595	571928	131072	88731648
multi-exit/64/base	combined	1107000	22336696	445787	88731648
multi-exit/256/base	ir	12121	987957	685493	88731648
multi-exit/256/base	cfg	3906	3567720	1718448	88731648
multi-exit/256/base	emission_exclusive	5524449	152969471	2274805	88731648
multi-exit/256/base	serialization	175764	2081470	524288	88731648
multi-exit/256/base	combined	5716240	159606618	2616365	88731648
multi-exit/1024/base	ir	48551	3969150	2749109	88731648
multi-exit/1024/base	cfg	15576	54383152	26927280	88731648
multi-exit/1024/base	emission_exclusive	40502697	7572822514	28754167	88731648
multi-exit/1024/base	serialization	520490	7240589	2097152	88731648
multi-exit/1024/base	combined	41087314	7638415405	30121488	88731648
no-exit/64/base	ir	3038	243015	168856	88731648
no-exit/64/base	cfg	384	163600	84740	88731648
no-exit/64/base	emission_exclusive	145412	2526630	74498	88731648
no-exit/64/base	serialization	12279	345439	131072	88731648
no-exit/64/base	combined	161113	3278684	233748	88731648
no-exit/256/base	ir	12115	976872	679016	88731648
no-exit/256/base	cfg	1448	2273808	1223492	88731648
no-exit/256/base	emission_exclusive	577584	10033166	289646	88731648
no-exit/256/base	serialization	47609	1351595	524288	88731648
no-exit/256/base	combined	638756	14635441	1581395	88731648
no-exit/1024/base	ir	48417	3919793	2718952	88731648
no-exit/1024/base	cfg	5683	35044704	19049540	88731648
no-exit/1024/base	emission_exclusive	2306200	40098923	1153770	88731648
