case	phase	allocation_count	total_allocated_bytes	peak_live_bytes	process_peak_rss_bytes
nested-loop/256/base	ir	12036	921000	643647	85970944
nested-loop/256/base	cfg	2658	6822716	1735432	85970944
nested-loop/256/base	emission_exclusive	573909	9153544	165027	85970944
nested-loop/256/base	serialization	48528	1356497	524288	85970944
nested-loop/256/base	combined	637131	18253757	2093288	85970944
nested-loop/1024/base	ir	48138	3687985	2577279	85970944
nested-loop/1024/base	cfg	10358	107500892	26994952	85970944
nested-loop/1024/base	emission_exclusive	2273489	36258742	648660	85970944
nested-loop/1024/base	serialization	189842	5387591	2097152	85970944
nested-loop/1024/base	combined	2521827	152835210	28422347	85970944
multi-exit/64/base	ir	2990	231132	160053	85970944
multi-exit/64/base	cfg	939	261476	117080	85970944
multi-exit/64/base	emission_exclusive	1037386	19175214	309100	85970944
multi-exit/64/base	serialization	46594	569880	131072	85970944
multi-exit/64/base	combined	1087909	20237702	404299	85970944
multi-exit/256/base	ir	12025	931853	644181	85970944
multi-exit/256/base	cfg	3745	3558468	1721240	85970944
multi-exit/256/base	emission_exclusive	4976430	90016059	966375	85970944
multi-exit/256/base	serialization	8140	1101950	524288	85970944
multi-exit/256/base	combined	5000340	95608330	2081613	85970944
multi-exit/1024/base	ir	48135	3734166	2580117	85970944
multi-exit/1024/base	cfg	14903	54347236	26938520	85970944
multi-exit/1024/base	emission_exclusive	37194013	670481539	3039981	85970944
multi-exit/1024/base	serialization	8142	4248630	2097152	85970944
multi-exit/1024/base	combined	37265193	732811571	28376880	85970944
no-exit/64/base	ir	3018	229199	160160	85970944
no-exit/64/base	cfg	493	314200	122276	85970944
no-exit/64/base	emission_exclusive	137185	2128487	41162	85970944
no-exit/64/base	serialization	12278	343391	131072	85970944
no-exit/64/base	combined	152974	3015277	222996	85970944
no-exit/256/base	ir	12045	921088	643712	85970944
no-exit/256/base	cfg	1849	4646456	1742180	85970944
no-exit/256/base	emission_exclusive	545386	8412612	154499	85970944
no-exit/256/base	serialization	47608	1349547	524288	85970944
no-exit/256/base	combined	606888	15329703	2100051	85970944
no-exit/1024/base	ir	48147	3688073	2577344	85970944
no-exit/1024/base	cfg	7237	72847320	27022436	85970944
no-exit/1024/base	emission_exclusive	2178145	33575016	613618	85970944
no-exit/1024/base	serialization	188922	5374495	2097152	85970944
no-exit/1024/base	combined	2422451	115484904	28449862	85970944
irreducible/64/base	ir	3014	231355	160233	85970944
irreducible/64/base	cfg	670	170632	86468	85970944
irreducible/64/base	emission_exclusive	13761044	204561774	9310250	85970944
irreducible/64/base	serialization	61038	628259	131072	85970944
irreducible/64/base	combined	13825766	205592020	9395108	85970944
irreducible/256/base	ir	12045	930636	644217	85970944
irreducible/256/base	cfg	3342	2497960	1230596	85970944
irreducible/256/base	emission_exclusive	38934923	421987451	11752787	85970944
irreducible/256/base	serialization	61040	1417299	524288	85970944
irreducible/256/base	combined	39011350	426833346	12092406	85970944
irreducible/1024/base	ir	48151	3727189	2579577	85970944
irreducible/1024/base	cfg	16310	38938888	19078148	85970944
irreducible/1024/base	emission_exclusive	106327532	1057768923	14824260	85970944
irreducible/1024/base	serialization	61042	4573269	2097152	85970944
irreducible/1024/base	combined	106453035	1105008269	20507809	85970944
